2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 8f0dfbd8-f3d9-4432-a9df-5ca8d1b33a99, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 8f0dfbd8-f3d9-4432-a9df-5ca8d1b33a99
2020-05-05 15:30:37 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 8f0dfbd8-f3d9-4432-a9df-5ca8d1b33a99
2020-05-05 15:30:37 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 200ab79b-1d71-4a09-9c1d-58df76848bf2, тип REGISTER, статус WAITING
2020-05-05 15:30:37 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 200ab79b-1d71-4a09-9c1d-58df76848bf2
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 200ab79b-1d71-4a09-9c1d-58df76848bf2
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 184273d2-2fc2-42ec-bf54-4e107e2c8fef, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 184273d2-2fc2-42ec-bf54-4e107e2c8fef
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 184273d2-2fc2-42ec-bf54-4e107e2c8fef
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 55ea5b56-a4da-427c-bdf7-355d0ab9a2a9, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 55ea5b56-a4da-427c-bdf7-355d0ab9a2a9
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 55ea5b56-a4da-427c-bdf7-355d0ab9a2a9
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= ddde5983-3823-4ffb-9f99-27ee1fa760ad, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= ddde5983-3823-4ffb-9f99-27ee1fa760ad
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = ddde5983-3823-4ffb-9f99-27ee1fa760ad
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= b2d06e2d-b467-409a-a0c3-d54287fe0b50, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= b2d06e2d-b467-409a-a0c3-d54287fe0b50
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = b2d06e2d-b467-409a-a0c3-d54287fe0b50
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 24bb9961-e841-44ae-a6fa-47c69535bd0c, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 24bb9961-e841-44ae-a6fa-47c69535bd0c
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 24bb9961-e841-44ae-a6fa-47c69535bd0c
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 66d7aae8-9283-42dc-8eab-9838f6b75e56, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 66d7aae8-9283-42dc-8eab-9838f6b75e56
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 66d7aae8-9283-42dc-8eab-9838f6b75e56
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= edc79ebd-54c1-40d6-9839-04aae8481a60, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= edc79ebd-54c1-40d6-9839-04aae8481a60
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = edc79ebd-54c1-40d6-9839-04aae8481a60
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= a9145171-3ee0-48d8-b108-65c768c4cdf2, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= a9145171-3ee0-48d8-b108-65c768c4cdf2
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = a9145171-3ee0-48d8-b108-65c768c4cdf2
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 1730fa7b-adc3-4d29-8923-263902ccca95, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 1730fa7b-adc3-4d29-8923-263902ccca95
2020-05-05 15:30:38 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 1730fa7b-adc3-4d29-8923-263902ccca95
2020-05-05 15:30:38 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 9125a45d-437c-4211-a82b-414b3cacc2ee, тип REGISTER, статус WAITING
2020-05-05 15:30:38 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 9125a45d-437c-4211-a82b-414b3cacc2ee
